action_id,priority,review_issue,deliverable,weight_percent,state,verdict,owner,command,artifact,evidence_hash,started_utc,finished_utc,notes
HPCA1-A01,P0,R8,"Submission number 4950 and anonymous PDF preflight",3,VERIFIED,PASS,paper,"bash scripts/build_hpca1_paper.sh",paper/hpca1_hail_mary/revised_paper/BUILD_PREFLIGHT.json,01710adfcf11fe1335ee32f80fadf6ab691f17590082bdf09f60848f79b29939,,2026-07-30T22:50:00Z,"Author supplied 4950; PDF SHA-256 a680647a2f91252ef506968e6f6ab7f42b690c702d6ddd881d245e7f0aff7ce5"
HPCA1-A02,P0,R1,"Zero-prefix paired end-to-end matrix",28,NOT_STARTED,UNASSESSED,experiments,"frozen manifest command recorded before launch",results/hail_mary_hpca1/tables/end_to_end_paired.csv,,,,"Existing suffix and unmatched diagnostic rows do not qualify"
HPCA1-A03,P1,R2,"Relaxation-path optimization and top-k Pareto",14,NOT_STARTED,UNASSESSED,runtime,"optimized/unoptimized equivalence then six-cell admission smoke",results/hail_mary_hpca1/tables/runtime_profile.csv,,,,"Must split setup and numerical iteration time"
HPCA1-A04,P1,R3,"Zero/20/40-percent prefix sensitivity",10,NOT_STARTED,UNASSESSED,experiments,"run only after zero-prefix primary matrix is frozen",results/hail_mary_hpca1/tables/prefix_sensitivity.csv,,,,"Zero prefix is the headline; 20/40 are sensitivity only"
HPCA1-A05,P1,R4,"Leakage-safe learning disclosure and frozen ablations",10,NOT_STARTED,UNASSESSED,learning,"derive disclosure from immutable cached labels and checkpoints",results/hail_mary_hpca1/tables/learning_disclosure.csv,,,,"No pilot-test training or threshold selection"
HPCA1-A06,P1,R5,"Finite knockout and solver/tau/tolerance stability",9,NOT_STARTED,UNASSESSED,duals,"balanced reduced native study plus existing synthetic census",results/hail_mary_hpca1/tables/dual_stability.csv,,,,"Reduced native breadth must be labeled explicitly"
HPCA1-A07,P0,R6,"Ordered-transition symmetry equivalence",12,NOT_STARTED,UNASSESSED,symmetry,"exhaustive adversarial reachable-state test",results/hail_mary_hpca1/tables/symmetry_assertions.csv,,,,"Any failed assertion disables quotient claims"
HPCA1-A08,P1,R7,"Closest learned/routing-aware baseline",6,NOT_STARTED,UNASSESSED,baselines,"bounded official-artifact and license audit; run only compatible artifacts",results/hail_mary_hpca1/reports/BASELINE_COMPATIBILITY.md,,,,"Never substitute a reimplementation and call it the original"
HPCA1-A09,P0,R8,"Author-approved AI disclosure and anonymity",3,VERIFIED,PASS,paper,"bash scripts/build_hpca1_paper.sh",paper/hpca1_hail_mary/revised_paper/BUILD_PREFLIGHT.json,38e42b03ae9cfce721c053f20c17c2cb14d564acae857372e2e5e73c79703d5a,,2026-07-30T22:50:00Z,"Appendix hash exactly matches source archive; author approval recorded in chat"
HPCA1-A10,P0,R1-R8,"Generated tables manuscript integration and final handoff",5,RUNNING,UNASSESSED,paper,"regenerate paper only from indexed raw evidence",results/HPCA1_HAIL_MARY_HANDOFF_20260801.zip,,,,"Paper staging complete; empirical integration remains pending"
